symbol,company,category,sleeve,trade_type,current_price,target_price,quality_score,momentum_score,catalyst_score,risk_score,confidence,notes,price_source,target_source,estimate_source,sentiment_source,eps_estimate,revenue_estimate,news_sentiment,provider_notes
NVDA,NVIDIA,Mega-cap AI/platform,long_term,long_term,212.6000,309.7200,98,94,96,76,High,AI infrastructure leader with exceptional revenue and earnings growth; high valuation and volatility.,FMP,FMP,,,,,,"FMP quote failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | FMP target failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | Alpha Vantage quote failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | Alpha Vantage estimates failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | Alpha Vantage news sentiment failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3"
META,Meta Platforms,Mega-cap AI/platform,long_term,long_term,635.2550,824.2200,92,88,86,78,High,AI-enabled ad platform and strong cash generation; target inputs need refresh.,FMP,FMP,,,,,,"FMP quote failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | FMP target failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | Alpha Vantage quote failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | Alpha Vantage estimates failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | Alpha Vantage news sentiment failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3"
MSFT,Microsoft,Mega-cap AI/platform,long_term,long_term,412.6700,551.9600,96,84,84,88,High,Durable cloud and AI platform; target inputs need refresh.,FMP,FMP,,,,,,"FMP quote failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | FMP target failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | Alpha Vantage quote failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | Alpha Vantage estimates failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | Alpha Vantage news sentiment failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3"
SNOW,Snowflake,Cybersecurity/cloud/software,long_term,long_term,175.2600,0,76,82,80,58,Medium,High-upside data cloud/software name; higher valuation and execution risk.,Alpha Vantage,Needs paid target provider,,,,,,"FMP quote failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | FMP target failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | Alpha Vantage quote failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | Alpha Vantage estimates failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | Alpha Vantage news sentiment failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3"
AMZN,Amazon,Mega-cap AI/platform,long_term,long_term,271.8500,306.7400,90,82,82,80,High,AWS and advertising upside; target inputs need refresh.,FMP,FMP,,,,,,"FMP quote failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | FMP target failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | Alpha Vantage quote failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | Alpha Vantage estimates failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | Alpha Vantage news sentiment failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3"
MDB,MongoDB,Cybersecurity/cloud/software,long_term,long_term,294.4600,0,74,78,74,56,Medium,Developer data platform with upside but higher software multiple risk.,Alpha Vantage,Needs paid target provider,,Alpha Vantage,,,-0.005,"FMP quote failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | FMP target failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | Alpha Vantage quote failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | Alpha Vantage estimates failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | Alpha Vantage news sentiment failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3"
TSM,Taiwan Semiconductor,Semiconductors,long_term,long_term,422.7750,427.5000,88,78,80,66,Medium,Foundry leader tied to AI chip demand; geopolitical risk.,FMP,FMP,,,,,,"FMP quote failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | FMP target failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | Alpha Vantage quote failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | Alpha Vantage estimates failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | Alpha Vantage news sentiment failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3"
AVGO,Broadcom,Mega-cap AI/platform,long_term,long_term,421.8600,0,90,80,80,76,High,AI networking/custom silicon plus software cash flow; target inputs need refresh.,Alpha Vantage,Needs paid target provider,,,,,,"FMP quote failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | FMP target failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | Alpha Vantage quote failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | Alpha Vantage estimates failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | Alpha Vantage news sentiment failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3"
GOOGL,Alphabet,Mega-cap AI/platform,long_term,long_term,388.8300,410.0000,88,76,76,82,High,"Search, cloud, and AI model/platform exposure; target inputs need refresh.",FMP,FMP,,,,,,"FMP quote failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | FMP target failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | Alpha Vantage quote failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | Alpha Vantage estimates failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | Alpha Vantage news sentiment failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3"
NET,Cloudflare,Cybersecurity/cloud/software,short_term,weekly_swing,217.5400,0,72,76,74,54,Medium,High-growth edge/security platform; valuation sensitivity.,Alpha Vantage,Needs paid target provider,,,,,,"FMP quote failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | FMP target failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | Alpha Vantage quote failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | Alpha Vantage estimates failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | Alpha Vantage news sentiment failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3"
ASML,ASML,Semiconductors,long_term,long_term,1632.0300,0,88,64,66,72,Medium,Lithography monopoly-like role; cyclical semiconductor capex risk.,Alpha Vantage,Needs paid target provider,,,,,,"FMP quote failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | FMP target failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | Alpha Vantage quote failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | Alpha Vantage estimates failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | Alpha Vantage news sentiment failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3"
DDOG,Datadog,Cybersecurity/cloud/software,short_term,tactical_2_4_week,223.6500,0,76,68,66,60,Medium,Observability/cloud software; target inputs need refresh.,Alpha Vantage,Needs paid target provider,,,,,,"FMP quote failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | FMP target failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | Alpha Vantage quote failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | Alpha Vantage estimates failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | Alpha Vantage news sentiment failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3"
AMD,Advanced Micro Devices,Semiconductors,long_term,long_term,495.5400,437.5900,80,66,78,62,Medium,AI accelerator challenger; execution and margin risk versus NVDA.,FMP,FMP,,,,,,"FMP quote failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | FMP target failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | Alpha Vantage quote failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | Alpha Vantage estimates failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | Alpha Vantage news sentiment failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3"
PANW,Palo Alto Networks,Cybersecurity/cloud/software,long_term,long_term,256.7500,0,82,60,64,68,Medium,Cybersecurity platform leader; target inputs need refresh.,Alpha Vantage,Needs paid target provider,,Alpha Vantage,,,0.276,"FMP quote failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | FMP target failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | Alpha Vantage quote failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | Alpha Vantage estimates failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | Alpha Vantage news sentiment failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3"
CRWD,CrowdStrike,Cybersecurity/cloud/software,long_term,long_term,671.5500,0,82,58,62,54,Medium,Security leader but high expectations and sentiment risk.,Alpha Vantage,Needs paid target provider,,,,,,"FMP quote failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | FMP target failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | Alpha Vantage quote failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | Alpha Vantage estimates failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | Alpha Vantage news sentiment failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3"
ARM,Arm Holdings,Semiconductors,long_term,long_term,321.2200,0,78,58,70,48,Medium,High strategic relevance; valuation and ownership structure risk.,Alpha Vantage,Needs paid target provider,,,,,,"FMP quote failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | FMP target failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | Alpha Vantage quote failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | Alpha Vantage estimates failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | Alpha Vantage news sentiment failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3"
MU,Micron,Semiconductors,short_term,day_trade,895.8800,0,72,90,84,42,Low,Cyclical AI memory momentum; avoid chasing after sharp moves without refreshed targets.,Alpha Vantage,Needs paid target provider,,,,,,"FMP quote failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | FMP target failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | Alpha Vantage quote failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | Alpha Vantage estimates failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | Alpha Vantage news sentiment failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3"
QQQM,Invesco NASDAQ 100 ETF,ETF/ballast,etf,etf,300.6800,0,84,78,70,86,High,Growth ETF ballast; use allocation and trend score instead of company target.,Alpha Vantage,Needs paid target provider,,Alpha Vantage,,,0.282,"FMP quote failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | FMP target failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | Alpha Vantage quote failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | Alpha Vantage estimates failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | Alpha Vantage news sentiment failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3"
VGT,Vanguard Information Technology ETF,ETF/ballast,etf,etf,118.0500,0,86,80,72,84,High,Technology ETF ballast with mega-cap concentration.,Alpha Vantage,Needs paid target provider,,,,,,"FMP quote failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | FMP target failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | Alpha Vantage quote failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | Alpha Vantage estimates failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | Alpha Vantage news sentiment failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3"
SMH,VanEck Semiconductor ETF,ETF/ballast,etf,etf,602.1400,0,82,82,78,62,Medium,Semiconductor theme ETF; higher cyclicality and concentration.,Alpha Vantage,Needs paid target provider,,,,,,"FMP quote failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | FMP target failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | Alpha Vantage quote failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | Alpha Vantage estimates failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | Alpha Vantage news sentiment failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3"
SOUN,SoundHound AI,Speculative AI/small-mid cap,speculative_ai,tactical_2_4_week,8.1300,0,62,78,82,34,Low,Voice AI and agentic customer interaction pure play; watchlist-only until refreshed data and funding risk are reviewed.,Alpha Vantage,Needs paid target provider,,,,,,"FMP quote failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | FMP target failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | Alpha Vantage quote failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | Alpha Vantage estimates failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | Alpha Vantage news sentiment failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3"
AEHR,Aehr Test Systems,Speculative AI/small-mid cap,speculative_ai,long_term,109.9200,0,64,62,72,46,Low,AI semiconductor test and burn-in picks-and-shovels candidate; customer concentration and execution risk.,Alpha Vantage,Needs paid target provider,,,,,,"FMP quote failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | FMP target failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | Alpha Vantage quote failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | Alpha Vantage estimates failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | Alpha Vantage news sentiment failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3"
BBAI,BigBear.ai,Speculative AI/small-mid cap,speculative_ai,tactical_2_4_week,0,0,52,70,76,30,Low,Defense and government decision-intelligence AI optionality; contract timing and dilution risk.,,Needs paid target provider,,,,,,"FMP quote failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | FMP target failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | Alpha Vantage quote failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | Alpha Vantage estimates failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | Alpha Vantage news sentiment failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3"
ALAB,Astera Labs,Speculative AI/small-mid cap,speculative_ai,long_term,0,0,78,76,78,54,Medium,AI data-center connectivity infrastructure; likely higher quality but valuation risk may be significant.,,Needs paid target provider,,,,,,"FMP quote failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | FMP target failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | Alpha Vantage quote failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | Alpha Vantage estimates failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | Alpha Vantage news sentiment failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3"
PLAB,Photronics,Speculative AI/small-mid cap,speculative_ai,long_term,0,0,70,58,62,66,Medium,Semiconductor photomask supply-chain candidate; less pure AI but potentially more grounded.,,Needs paid target provider,,,,,,"FMP quote failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | FMP target failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | Alpha Vantage quote failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | Alpha Vantage estimates failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3 | Alpha Vantage news sentiment failed: <urlopen error [Errno 8] nodename nor servname provided, or not known>; error_class=network_transient; attempts=3"
